Λήμμα,Επεξήγηση,Άρθρο
Μπίζης,Μπιζέλι ή Αρακάς.,sing.M
Μπίζι,Μπιζέλι – αρακάς,sing.N
Μπίρμπος,Κατεργάρης,sing.M
Μπαγάγια,Οι αποσκευές αλλά και μτφ. οι όρχεις,plur.N
Μπαγάλιο,Μπραγάνια (διάφορα μικρά ψάρια).,sing.N
Μπαγιονέτα,Ξιφολόγχη,sing.F
Μπαγιόκο,Τα «ψιλά» νομίσματα,sing.N
Μπαγκέτα,Εργαλείο-βέργα με το οποίο γέμιζαν τα παλιά τουφέκια που γέμιζαν από μπροστά (Εμπροστογιομή).,sing.F
Μπαγκέτο,Συρτάρι,sing.N
Μπαγκαλέτο,Λευκό δαντελένιο κουβερλί ή τραπεζομάντιλο.,sing.N
Μπαγκατέλα,Ευτελές αντικείμενο,sing.F
Μπαγκούλι,Σκαμνί.,sing.N
Μπαγολίνα,Μπαστουνάκι κυρίου λεπτό,sing.F
Μπαγορδάντες,Καλοφαγάς,sing.M
Μπαγόρδα,Κραιπάλη.,sing.F
Μπαγόρδα,Καλοφαγία.,sing.F
Μπαγόρδα,Όργιο.,sing.F
Μπαζίνα,"Αλεύρι βρασμένο, καλαμποκένιο.",sing.F
Μπαιλίζω,Μαραίνομαι.,null
Μπακέτα,Ραβδί,sing.F
Μπακίνι,Μηχανισμός της λάμπας του πετρελαίου.,sing.N
Μπακίρι,Πεπόνι οβάλ.,sing.N
Μπακαλαρόλαδο,Μουρουνέλαιο.,sing.N
Μπακαλιάρος κουκουγέρους,Μπακαλιάρος τηγανιτός με αλεύρι και αυγό.,sing.M
Μπακατέλα,Μικροεργασία,sing.F
Μπακοτίλιες,Πράγματα.,plur.M
Μπακόλας,Φλύαρος,sing.M
Μπαλάδος,"Μισότρελος, περίγελος",sing.M
Μπαλάφας,Αγαθιάρης.,sing.M
Μπαλέτες,Καντρίλιες – Χορός,plur.M
Μπαλί,Σφαίρα – μπαλίτσα – εμμονή,sing.N
Μπαλαδόρος,Χορευτής,sing.M
Μπαλαντζάρω,Ταλαντεύομαι,null
Μπαλαούστρο,Κουπαστή κάγκελου.,sing.N
Μπαλιγάρω,Θέτω κάποιον υπό τον έλεγχό μου.,null
Μπαλκονάδα,Υπερώο θεάτρου.,sing.F
Μπαλκονάδα,Σειρά μπαλκονιών.,sing.F
Μπαλκονάδα,Βιτρίνα.,sing.F
Μπαλντούμι,Λουρί αλόγου η γαιδάρου κάτω από την κοιλιά του ζώου.,sing.N
Μπαλντούμι,Λουρί που πάει στην ουρά του γαιδάρου.,sing.N
Μπαλοτίνια,Μικρές πατάτες.,plur.N
Μπαλοτίνος,Ψηφοφόρος όταν ψήφιζαν με σφαιρίδια,sing.M
Μπαλοτόντο,Καυγάς,sing.N
Μπαλτζαμάδος,Βαλσαμωμένος.,sing.M
Μπαλτουνάρω,Εξασθενώ.,null
Μπαλτούμι,Το πλατύ λουρί που έδενε το σαμάρι του γαιδάρου κάτω από την κοιλιά.,null
Μπαλτσαμάρω,Βαλσαμώνω,null
Μπαλόνι,Μπάλα.,sing.N
Μπαλότα,Δεμάτια σανού.,plur.N
Μπαλότο,Δεμάτι σανού,sing.N
Μπαμπάι,Τέρας.,sing.N
Μπαμπάι,Έντομο.,sing.N
Μπαμπίνο,Μωρό,sing.N
Μπαμπακέλα,Το μπαμπάκι και το χιόνι.,sing.F
Μπαμπακίτης,Περονόσπορος.,sing.M
Μπαμπαλαδόρος,Σκουπιδιάρης.,sing.M
Μπαμπαούνος,Τερατόμορφος.,sing.M
Μπαμπού,Τερατόμορφη.,sing.F
Μπανγκαλέτο,Φάσα υφάσματος που κάλυπτε το κάτω μέρος του κρεβατιού.,sing.N
Μπανιάδος,Πλυμένος – Βρεγμένος,sing.M
Μπανιομαρία,Τρόπος βρασίματος αυγών,null
Μπανιός,Μπούφος (το πουλί).,sing.M
Μπανκάδα,Μακρόστενο τραπέζι εορτής.,sing.F
Μπανκιέρης,Τραπεζίτης,sing.M
Μπανκουμίδι,Παντεσπάνι.,sing.N
Μπαντίδα,Κακιά,sing.F
Μπαντίδος,"Ληστής, παράνομος",sing.M
Μπαντιέρα,Σημαία,sing.F
Μπαντουβάνα,Παχιά κότα.,sing.F
Μπαουλίνα,Μπαστούνι.,sing.F
Μπαρακοπούλι,Καλύβι,sing.N
Μπαραχούζα,Μάλωμα – Άγριος καυγάς.,sing.F
Μπαρκάρω,Φορτώνω σε πλοίο.,null
Μπαρλακίνο,Το φορείο που βγάζουν στη λιτανεία το σκήνωμα του Αγίου Σπυρίδωνα.,sing.N
Μπαρλακιάζω,Τρελαίνομαι.,null
Μπαρμπέτα,Μουσάκι,sing.F
Μπαρμπαράλευρο,Καλαμποκάλευρο.,sing.N
Μπαρμπαρέλα,Ψωμί από καλαμποκάλευρο.,sing.F
Μπαρμπαρόκιχλα,Είδος μεγαλόσωμης κίχλας.,sing.F
Μπαρμπατσιόλα,Πετσέτα φαγητού,sing.F
Μπαρουνιά,Μεγάλη ιδιοκτησία γης,sing.F
Μπαρουτιασμένος,Έτοιμος να εκραγεί.,sing.M
Μπαρουφάντες,Αερολόγος.,sing.M
Μπαρούνος,Βαρόνος,sing.M
Μπαρούφα,Φασαρία – Καυγάς,sing.F
Μπαρτίδα,Μερίδα – Κομμάτι,sing.F
Μπαρτζάνα,Βολάν φουστανιού.,sing.F
Μπαρτζαριό,Τυροκομείο.,sing.N
Μπαρτσελέτα,Αστείο,sing.F
Μπαρτσουλάρω,Τρελαίνομαι,null
Μπασιά,Είσοδος σε κτήμα.,sing.F
Μπαστακουνάδος,Όρθιος.,sing.M
Μπαστακούνι,Ορθοστασία.,sing.N
Μπαστιμέντο,Πλοίο,sing.N
Μπαστιόνι,Προμαχώνας,sing.N
Μπατάγια,Ναυμαχία – Μάχη,sing.F
Μπατάρω,Αναποδογυρίζω.,null
Μπατάρω,Συνυπολογίζω.,null
Μπατέλο,Μικρό πλοιάριο.,sing.N
Μπατίμπαλος,Εργαλείο για μπήξιμο πασσάλων.,sing.M
Μπατίνα,Βερνίκι παπουτσιών.,sing.F
Μπατιδούρο,Ρόπτρο,sing.N
Μπατιδούρος,"Ρόπτρο, Μεταλλικό περίτεχνο εξάρτημα για το χτύπημα της πόρτας",sing.M
Μπατικάδο,Το ένα πάνω στο άλλο – συνεχόμενα.,sing.N
Μπατικούνι,Στάσιμος - Όρθιος.,sing.N
Μπατικόρε,Ανησυχία,sing.F
Μπατουνάδα,Μουσικό κομμάτι για μικρή ορχήστρα.,sing.F
Μπατούδα,Πατούρα – μουσική φράση,sing.F
Μπατούδα,Εγκοπή στα πλάγια κατασκευής,sing.F
Μπατσάρομαι,Παιχνίδι τράπουλας,null
Μπατσολάδος,Τρελός,sing.M
Μπαφάδα,Άσχημη μυρωδιά.,sing.F
Μπαφούτης,Μουστακαλής,sing.M
Μπαόρδες,Δώρα.,plur.M
Μπεβάντα,Κρασί ανακατεμένο με νερό,sing.F
Μπεζαμόντε,Φαγώσιμο;,null
Μπεκανότο,Είδος μικρόσωμης μπεκάτσας.,sing.N
Μπελάντζα,Μεγάλη ζυγαριά.,sing.F
Μπελάντζο,Ταλάντευση,sing.N
Μπελένζια,Ομορφιά,sing.F
Μπελέχα,Έντονος βήχας.,sing.F
Μπελαντζί,Μικρή ζυγαριά.,sing.N
Μπελβεντέρε,Δωμάτιο σοφίτας.,sing.N
Μπελβεντέρε,Δωμάτιο με θέα.,sing.N
Μπεμπές,Κοκαλάκι για τα μαλλιά.,sing.M
Μπενεστάντες,Πλούσιος,sing.M
Μπενεφίκιο,Ευεργέτημα,sing.N
Μπεράρια,"Ισοπεδωμένο μέρος, πατημένο.",sing.F
Μπερέτα,Μπερές.,sing.F
Μπερδές,Γλέντι,sing.M
Μπερετόνι,Καπέλο,sing.N
Μπερκέτι,Πολύ.,sing.N
Μπερκετουλής,Κουβαρδάς.,sing.M
Μπερτουέλα,Μεντεσές,sing.F
Μπητάδος,Πυκνός .,sing.M
Μπηχτοκέφαλα,Με σκυφτό κεφάλι.,null
Μπιάνκο,"Άσπρο γενικά, αλλά έτσι λέγεται και ένας τρόπος μαγειρέματος των ψαριών κυρίως, με άσπρη σάλτσα.",null
Μπιάτο,Πύον.,sing.N
Μπιδολότο,Ύπνος,sing.N
Μπιζάρω,Ξεσηκώνω κάποιον.,null
Μπιζιλότο,Υπνάκος,sing.N
Μπικερίνι,Ποτηράκι,sing.N
Μπικικίνι,Παλιό ευτελές νόμισμα (δεκάρα).,sing.N
Μπιλιέτο,Σημείωμα,sing.N
Μπιλιέτο,Το λαχείο και το σημείωμα και το εισιτήριο,sing.N
Μπιμπιλώνω,Μεντάρω.,null
Μπιρμπιτσιόλα,"Παιδικό παιχνίδι - Τα παιδιά κάθονταν στο πεζούλι και ένα παιδί μετρούσε τα γόνατα στα ιταλικά, σταμάταγε σε κάποιο νούμερο και το πόδι εκείνο έπρεπε να μαζευτεί, όποιος μάζευε και τα δύο του πόδια έβγαινε από το παιχνίδι.",sing.F
Μπιρόντολο,Γέμισμα πολυθρόνας.,sing.N
Μπισκάτσα,Λέσχη χαρτοπαιξίας,sing.F
Μπισμπίλια,Ιδέες υποψίες,plur.N
Μπισνόνα,Προγιαγιά . Μπισνόνο - Προπάππους,null
Μπιστικός,Εργάτης βοσκός ή αυτός που είναι γενικά στην υπηρεσία κάποιου.,sing.M
Μπιστιού,Επί πιστώσει.,sing.N
Μπιτάδα,Πυκνά,plur.N
Μπιτάδος,"Γεμάτος, πυκνός.",sing.M
Μπιτάδος,Πυκνός – σφιχτό δέσιμο,sing.M
Μπιτσάρος,Ιδιότροπος,sing.M
Μπιτσικλέτα,Μοτοσυκλέτα.,sing.F
Μπιφιστίκι,Διαλεκτό κομμάτι μοσχαρίσιου κρέατος,sing.N
Μπλάθρης,Κατάπλασμα.,sing.M
Μπλάστρης,Ξύλινο εργαλείο της κουζίνας σαν αυτό που ανοίγουν φύλλο.,sing.M
Μπλακάρω,Μπλοκάρω.,null
Μπλαστρώνω,Πλάθω - Ζουλάω.,null
Μπληγούρι,Διάφορα όσπρια μαγειρεμένα.,sing.N
Μπλητσούνι,Αμπάρα σιδερένια για το κλείδωμα της πόρτας.,sing.N
Μπογιάρω,Πειράζω κάποιον,null
Μποζολούτο,Υπνάκος,sing.N
Μποζοντούρο,Σοβαρότητα-σκληράδα.,sing.N
Μποζοντούρος,Μουτρωμένος,sing.M
Μποκές,Ανθοδέσμη,sing.M
Μποκέτα,Στόμιο οχετού.,sing.F
Μποκίνι,Επιστόμιο,sing.N
Μποκολέτα,Σκουλαρίκι.,sing.F
Μπολέτα,Μία τεχνική για παραγωγή ξυλοκάρβουνου.,sing.F
Μπολοκιός,Δοχείο λαδιού.,sing.M
Μπολσέτα,Μανικέτια,plur.N
Μπομπάδο,Φουσκωμένος τοίχος από υγρασία,sing.N
Μπομπαρδάρης,Το κανόνι.,sing.M
Μπομπαρδαριό,Επίπεδο μέρος πάνω σε φρούρια η σε υψώματα που.,sing.N
Μπομπόλι,"Ένα μόνο φασόλι, φακή, ρεβίθι κλπ.",sing.N
Μπομπόλια,Μπαλίτσες.,plur.N
Μπομπόλοι,"Σφαιρίδια, σαλίγγαροι.",plur.M
Μποναγράτσια,Κουρτινόξυλο,sing.F
Μπονιφικάρω,Βελτιώνω,null
Μπονιφικατσιόνα,Βελτίωση,sing.F
Μπονφεστίδος,"Γιορτινός, στολισμένος",sing.M
Μπονόρα,Νωρίς,null
Μπορτάδα,Αξία,sing.F
Μπορτζάδα,Η κακιά ώρα.,sing.F
Μπορτσούνι,Μεταλλικό έλασμα κλειδαριάς,sing.N
Μποσκάτα,Ελαφρύ δέσιμο του μαντηλιού στο λαιμό (Μπόσικο).,sing.F
Μποσκέτο,Κήπος.,sing.N
Μποτέγα,Κατάστημα,sing.F
Μποτήλια,Μπουκάλα,sing.F
Μποτήρι,Σταμνί.,sing.N
Μποτίλια,Μπουκάλα,sing.F
Μποτηλιάδο,Εμφιαλωμένο.,null
Μποτιέρος,Κατασκευαστής ντεπόζιτων μεταλλικών.,sing.M
Μποτιρόλατα,Δοχείο για την μεταφορά γάλακτος στον ώμο.,sing.F
Μποτσί,Το μικρό μπουκαλάκι.,sing.N
Μποτσοπούλι,Μικρή μπουκάλα.,sing.N
Μποτσόνα,Μεγάλη μπουκάλα.,sing.F
Μποτσόνι,Γυάλινη κανάτα τραπεζιού,sing.N
Μπουέλο,Κουβάς.,sing.N
Μπουγάζι,Κουφόβραση.,sing.N
Μπουγαρίνι,Αναρριχόμενο φυτό με λουλουδάκια σαν του γιασεμιού.,sing.N
Μπουγασί,Πορφυρό.,sing.N
Μπουγιάδος,Θυμωμένος (Έχει φουσκώσει από το βράσιμο).,sing.M
Μπουγιάρω,Βράζω,null
Μπουγιάτα,Καζάνι που βράζει – Καμίνι για κάρβουνα,sing.F
Μπουγιάτα,Μία τεχνική για παραγωγή ξυλοκάρβουνου.,sing.F
Μπουζέτα,Κρίκοι μεταλλικοί στις τρύπες των κορδονιών στα παπούτσια.,plur.N
Μπουκάρω,Γεμίζω με σοβατολάσπη τις τρύπες ανάμεσα στις πέτρες του τοίχου.,null
Μπουκα φέρμα,"Έκφραση που σημαίνει \""Με κλειστό στόμα\"". Την χρησιμοποιούσαν οι μαέστροι της χορωδίας όταν έπρεπε οι χορωδοί να τραγουδούν μουρμουρητά.",null
Μπουκαλέτο,Κανάτα,sing.N
Μπουκαλίνα,Γυάλινο μπουκάλι τραπεζιού,sing.F
Μπουκαρίζω,Κλείνω με λάσπη τρύπες στον τοίχο.,null
Μπουκαριόλι,Μικρή πορτούλα για να αερίζεται ο φούρνος.,sing.N
Μπουκαριώλι,Η τρύπα από όπου έμπαινε αέρας στο φούρνο.,sing.N
Μπουκουβάλα,Ψωμί βουτηγμένο στο κατωλαύρι.,sing.F
Μπουκουνιάζω,Κομματιάζω.,null
Μπουκούνι,Κομμάτι ψωμί.,sing.N
Μπουκούνια,Κομμάτια.,plur.N
Μπουλάκα,Χωρίστρα μαλλιών.,sing.F
Μπουλέτα,Πιπίλα.,sing.F
Μπουλαντζές,Χτένισμα μαλλιών.,sing.M
Μπουλετί,Γραπτό μήνυμα – Φακελάκι,sing.N
Μπουλετί,Το λαχείο και το σημείωμα και το εισιτήριο.,sing.N
Μπουλούκι,Ομάδα εργατριών γης.,sing.N
Μπουμπούλι,Ζωύφιο.,sing.N
Μπουμπούλοι,Το ψάρι Καπόνι (Μία Ράτσα).,plur.M
Μπουντούνι,Είδος αλλαντικού φτιαγμένο από αίμα χοιρινού σε έντερο και με προσθήκη καρυκευμάτων.,sing.N
Μπουράσκα,Θύελλα,sing.F
Μπουράτο,Πασπαλισμένο με ζάχαρη άχνη,sing.N
Μπουρέλι,Μικρό μεταλλικό ντεπόζιτο.,sing.N
Μπουρίνια,"Νεύρα. Μεταφ. Μπουρίνι, βροχερός καιρός που προκαλεί κακοκεφιά.",plur.N
Μπουραλίζω,Παιχνιδίζω,null
Μπουρανέλος,Ο κακός ψαράς,sing.M
Μπουρδέτο,Τοπικό φαγητό (Κοκκινιστά μαγειρευτά ψάρια με κόκκινο πιπέρι).,sing.N
Μπουρδουλεύω,Ανακατεύω,null
Μπουρδουμπάτσες,Φαγητό σαν το Μπριάμ.,plur.M
Μπουρδούγιο,Ακαταστασία.,sing.N
Μπουρδούλιο,Γελοιοποίηση.,sing.N
Μπουρθήκα,Το άνοιγμα του ανδρικού παντελονιού.,sing.F
Μπουρλίνια,Βλ. Βουρλίνια,plur.N
Μπουρμπουλός,Μεσημεριανός υπνάκος.,sing.M
Μπουρνέλες,Κορόμηλα.,null
Μπουρντούνι, ,sing.N
Μπουρούκι,Μικρό μπρίκι,sing.N
Μπουρσί,Το μέρος του τζακιού όπου ανάβουμε την φωτιά.,sing.N
Μπουσάκιασε,Φούσκωσε – έβγαλε φουσκάλες.,null
Μπουσαριόλος,Κλέφτης πορτοφολάς,sing.M
Μπουσουλέτο,Σύντομος ύπνος.,sing.N
Μπουσουλιά,Το άνοιγμα του ανδρικού παντελονιού.,sing.F
Μπουστίνα,Γυναικείο ρούχο σαν γιλέκο - Στηθόδεσμος.,sing.F
Μπουστρόβλιακος,Απρόσεκτος.,sing.M
Μπουτελάντες,Έμπορος λαδιού – Ιδιοκτήτης μπουτελιού,sing.M
Μπουτελί,Κατάστημα συγκέντρωσης ελαιολάδου.,sing.N
Μπουτιέρος,Βαρελοποιός,sing.M
Μπουτουνιέρα,Κούμπωμα ανδρικού παντελονιού.,sing.F
Μπουτούνι,Χάρτινη τάπα εμπροσθογεμούς όπλου,sing.N
Μπουτσάρα,Τιποτένια.,sing.F
Μπουτσούνι,Κομματάκι.,sing.N
Μπουτσούνια,Κομματάκια.,plur.N
Μπουχνί,Σακούλα που έβαζαν στο μαστό της κατσίκας για να μην μπορούν τα κατσικάκια να πιούν το γάλα.,sing.N
Μπουχός,Σκόνη στο αέρα.,sing.M
Μποχός,Σκόνη.,sing.M
Μποχός,Σκόνη στο αέρα.,sing.M
Μπούας,Μεγαλόσωμο βόδι,sing.M
Μπούγελος,Κουβάς,sing.M
Μπούγιο,Βράσιμο.,sing.N
Μπούγιο,Σαματάς.,sing.N
Μπούζος,Αυλάκι με βρωμόνερα.,sing.M
Μπούζος,Άνοιγμα υπονόμου-καπάκι.,sing.M
Μπούκα,Γενικά το στόμιο.,sing.F
Μπούκα,Η πόρτα του φούρνου που ψηνόταν το ψωμί.,sing.F
Μπούκα,Εκβολή ποταμού.,sing.F
Μπούκα φράνκο,Έκφραση που σημαίνει αδιέξοδο.,null
Μπούλια,Αναβλύζοντα νερά,sing.F
Μπούμπουλας,Μεγάλο μαύρο έντομο του αγρού.,sing.M
Μπούνια,Φάσα στην άκρη του ρούχου.,sing.F
Μπούνια,Λαξευμένη πέτρα πλαισίου.,sing.F
Μπούνια,Οι τρύπες της βάρκας στην κουβέρτα για να φεύγουν τα νερά.,plur.N
Μπούρδινη,Παρδαλή – πολύχρωμη.,sing.F
Μπούρδινο,Είδος φτηνού υφάσματος.,sing.N
Μπούρικος,Παχύς άνθρωπος,sing.M
Μπούρλος,Η χονδρή κοιλιά.,sing.M
Μπούρου-μπούρου,Μανέστρα νερόβραστη.,null
Μπούρσα,Η τσέπη του παντελονιού.,sing.F
Μπούρσα,Tα λεφτά.,sing.F
Μπούσουλα,Δεύτερη εξωτερική πόρτα για το κρύο και τον αέρα σε εκκλησίες και άλλα κτήρια,sing.F
Μπούσουλας,Πυξίδα,sing.M
Μπούστος,Κορσές,sing.M
Μπούστος,Σκελετός γυαλιών.,sing.M
Μπούφα,Φάρσα – κωμικό επεισόδιο.,sing.F
Μπούφος,Μεγάλο αρπακτικό πουλί.,sing.M
Μπράνκες,Μικρές πρόκες του τσαγκάρη.,plur.M
Μπράτσο,Χέρι αλλά και μέτρο μήκους.,sing.N
Μπρίγκα,Βήχας,sing.F
Μπρίλια,"Χαλινάρι, παρωπίδα",sing.F
Μπρίλιες,Παρωπίδες αλόγου,plur.M
Μπρίο,Ζωντάνια,sing.N
Μπρίσκουλα,Χαρτοπαίγνιο,sing.F
Μπραέσα,Ανδρικό παντελόνι,sing.F
Μπραγάνια,Διάφορα αφρόψαρα,plur.N
Μπρατσάνα,"Μπατζάκι, ρεβέρ.",sing.F
Μπρατσάντε (αλά),Αγκαζέ,null
Μπρατσέρα,Γρήγορο πλοίο με δυο ιστούς,sing.F
Μπρατσέρι,Κηλεπίδεσμος,sing.N
Μπρατσολές,Βραχιόλι.,sing.M
Μπρατσολέτα,Βραχιόλι.,sing.F
Μπρεβάριο,Διαθήκη προφορική .,sing.N
Μπρετέλες,Τιράντες,plur.M
Μπριστουλί,Εργαλείο για το ψήσιμο των κόκκων του καφέ.,sing.N
Μπριχού,Πρίν.,null
Μπριόζος,Ζωηρός.,sing.M
Μπροίο,Συναγωνισμός,sing.N
Μπροκάδο,Ύφασμα πολυτελείας – Μπροκάρ,sing.N
Μπροστέλα,Η ποδιά που έβαζαν οι νοικοκυρές όταν έπλεναν τα πιάτα αλλά και σε άλλες δουλειές του σπιτιού (Έτσι την έλεγαν στη Λευκίμμη - Στα χωριά του βορρά την έλεγαν μπροστομούνι).,sing.F
Μπροστουλί,Ποδιά κουζίνας.,sing.N
Μπροστοφούρνι,Το ψωμί που μπαίνει τελευταίο στο φούρνο.,sing.N
Μπρουσκέτα,Ψωμί βρεγμένο με ντομάτα τυρί και ρίγανη ως πρόχειρο κολατσιό για τα παιδιά.,sing.F
Μπρουστουλί,Καβουρδιστήρι.,sing.N
Μπρουτσουλάνα,Πορσελάνη,sing.F
Μπρούμο,Μαλάγρα (Φαί για να προσελκύσουν οι ψαράδες τα ψάρια).,sing.N
Μπρούτος,"Αντικοινωνικός, δύστροπος, κακός",sing.M
Μπρόγια,Κοροιδία,sing.F
Μπρόγια,Τεχνάσματα.,plur.N
Μπρόγιο,"Εμπαιγμός, ανταγωνισμός.",sing.N
Μπρόγιο,Συναγωνισμός,sing.N
Μπρόκα,Κανάτα νιπτήρα,sing.F
Μπρόκολο,Κωλομέρι.,sing.N
Μπόγολο,Την έπεισε – την κατάφερε - την «έριξε».,sing.N
Μπόζα,Πόζα,sing.F
Μπόζος,Χονδρός.,sing.M
Μπόκα και λίγκουα,Έκφραση που αναφέρεται στον πολυλογά και τον αθυρόστομο.,null
Μπόκολα,Σκουλαρίκι κρίκος – σγουρά μαλλιά,sing.F
Μπόκολο,Γυναικείο χτένισμα με γυριστά τα μαλλιά στους κροτάφους,sing.N
Μπόλια,Γυναικείο μαντίλι της παραδοσιακής γυναικείας στολής.,sing.F
Μπόλια,Έτσι ονομάζεται και η πετσέτα προσώπου στους Παξούς.,sing.F
Μπόλσος,Ο Σφυγμός της καρδιάς.,sing.M
Μπόλτζος,Σφυγμός,sing.M
Μπόμπολας,Σαλιγκάρι.,sing.M
Μπόμπος,Κάποιος που μιλάει μόνος του,sing.M
Μπόντζος,Βεράντα με εξωτερική σκάλα και αποθήκη από κάτω που έχουν οι μονοκατοικίες με βενετσιάνικη αρχιτεκτονική.,sing.M
Μπόργος,Προάστιο,sing.M
Μπόρδολοι,Βαριά χονδροκομμένα παπούτσια.,plur.M
Μπόρτζα,Δυνατό κρυολόγημα.,sing.F
Μπόρτζο,Αρρώστια.,null
Μπόρτζος,Σφυγμός,sing.M
Μπόσκο,Μπόσικο – Χαλαρό.,sing.N
Μπότα,Βαθούλωμα πληγής η χτυπήματος,sing.F
Μπότζα,Μεγάλη μπουκάλα κρασιού,sing.F
Μπότζος,Εξώστης σπιτιού βενετσιάνικης αρχιτεκτονικής,sing.M
Μπότης,Πήλινο δοχείο με χερούλια για την μεταφορά του νερού,sing.M
Μπότο,Μεγάλο λαμαρινένιο δοχείο.,sing.N
Μπόχα,Απόχη.,sing.F
Μπόχιλας,Αγριολάχανο.,sing.M
Μυγδάλι,Η σινιώτικη πέτρα .,sing.N
Μυζήτας,Αυτός που ρουφάει.,sing.M
Μυζηχτό,Ρουφηχτό.,null
Μυζώ,Ρουφώ.,null
Μυλάυλακο,Το αυλάκι που οδηγούσε το νερό στον νερόμυλο.,sing.N
Μυρτιά,Μυρσίνη.,sing.F
Μυρωδίτας,Είδος μεγάλου μανιταριού.,sing.M
Μόγα,Χωρίς βιασύνη.,sing.F
Μόγανο,Μαόνι,sing.N
Μόδι,Μονάδα όγκου.,sing.N
Μόδι,Έκταση καλλιεργούμενης γης επί Ενετών.,sing.N
Μόδο,"Μέσον, τρόπος",sing.N
Μόλα,Κρίκος ρολογιού τσέπης που το συνέδεε με την αλυσίδα,sing.F
Μόλλα,Ελατήριο,sing.F
Μόλος,Το σημείο που δένουν τα πλοία στο λιμάνι,sing.M
Μόμολος,"Ο γελοίος, εξευτελισμένος",null
Μόμπιλα,Έπιπλα,plur.N
Μόνε,Μόνο που.,null
Μόντε,Ενεχυροδανειστήριο,sing.N
Μόντε ντι πιέτα,Ενεχυροδανειστήριο,sing.F
Μόντες,Μπόγος – δέμα,sing.M
Μόντες,Ενεχυροδανειστήριο,sing.M
Μόρα,Επιτιμητικά η σκουρόχρωμη και η ηλιοκαμένη γυναίκα.,sing.F
Μόρες και κατσίδες,Κατάρα,null
Μόρος,Αράπης,sing.M
Μόρσα,Μέγγενη,sing.F
Μόρσο,Χαλινάρι,sing.N
Μόστερας,Πράσινη μεγάλη σαύρα,sing.M
Μόστρα,Βιτρίνα,sing.F
Μόστρο,Τέρας,sing.N
Μότα,Μιμήσεις - Κοροϊδίες.,plur.N
Μύκανας,Μανιτάρι (Μύκητας;),sing.M
Νάγα,Ούτε,null
Νάπα,Το πάνω κωνικό μέρος του τζακιού που οδηγεί στην καμινάδα.,sing.F
Νάτολα,Μικρός ξύλινος κατοικήσιμος χώρος σε ταράτσα.,sing.F
Νάτολα,Προεξοχή με παράθυρο από τα κεραμίδια της σοφίτας.,sing.F
Νάτολες,Αποθήκες σε σοφίτα.,plur.M
Νέσπολα,Μούσμουλο,sing.F
Νέτο,Καθαρό,sing.N
Νίβομαι,Πλένω το πρόσωπό μου.,null
Νίνια,"Νάζι, πονηρός μορφασμός.",sing.F
Ναντσιόνα,Εθνικότητα – φυλή,sing.F
Νεγοτσιάρω,Εμπορεύομαι,null
Νεγότζιο,"Συμφωνία, ξεκαθάρισμα.",sing.N
Νεγότζιο,Εμπορικό κατάστημα - δοσοληψία.,sing.N
Νεγότσια,Νέα επιχείρηση,sing.F
Νεγότσιος,Εμπορικός,sing.M
Νεκραμάρα,Απονέκρωση,sing.F
Νεκριασμένο,Βαριά κατάρα (Νεκρό).,sing.N
Νεκρικάτα,Νεκρώσιμα,plur.N
Νεραιδικό,Νεράιδα,sing.N
Νεροκονίδα,Χιονίστρα,sing.F
Νεροκουταλίδες,"Γυρίνοι (Τα νεογέννητα βατράχια , σε σχήμα κουταλιού , πριν μεταμορφωθούν σε βάτραχους).",plur.M
Νερομπλούτσι,"Φαγητό με πολύ νερό, περισσότερο από το κανονικό.",sing.N
Νετέρνω,Τελειώνω,null
Νευρίδα,Νευρόπονος,sing.F
Νιάκαρα,Φυσαρμόνικα,sing.F
Νιάκαρη,Υπερηφάνεια,sing.F
Νιάνκα,"Ούτε, ούτε καν.",null
Νιέντε,Τίποτα,null
Νιαμάς,Μασκαράς - Μασκοφόρος.,sing.M
Νιατίζω,Δίνω,null
Νιβέλο,Το αλφάδι – Η στάθμη.,sing.N
Νιοκατσέντε,Όλα εν τάξει.,null
Νιοράντες,Ο επιδειξιομανής.,sing.M
Νιοραντιά,Επιδειξιομανία – Επιδεικτική συμπεριφορά.,sing.F
Νιοραντιές,Οι επιδείξεις ενός δήθεν σπουδαίου.,plur.M
Νιόκος,Χαζούλης,sing.M
Νοβιτά,"Ο νεωτερισμός, το νέο",null
Νοβιτά,Ειδήσεις,null
Νογάς (δεν),Δεν καταλαβαίνεις.,null
Νογάω,Καταλαβαίνω,null
Νοδάρος,Συμβολαιογράφος – Γραφέας,sing.M
Νοθίλιας,Μυρωδιά μούχλας.,
Νομπιλε,Ανώτερος,sing.M
Νομπιλιτά,Η αριστοκρατία,sing.F
Νοταριάς,Συμβολαιογράφος,sing.M
Νουμεράρω,Αριθμώ,null
Νοφαίτης,Μεσοτοιχία,sing.M
Νούμπουλες,Κορόμηλα,plur.M
Νούμπουλο,Κερκυραικό αλλαντικό.,sing.N
Νούντσιος,Αντιπρόσωπος – Αγγελιοφόρος.,sing.M
Ντάκοι,Μεγάλα κομμάτια.,plur.M
Ντάνα και ιντερέσο,"Έκφραση που σημαίνει \""Ζημιές και Κέρδη\"".",null
Ντάσι,Το κριάρι,sing.N
Ντάσι,μτφ. Ο Κερατάς.,sing.N
Ντάσκα,Δερμάτινη σάκα.,sing.F
Ντέησε,Κάνε γρήγορα.,null
